datetime,Heating Setpoint (New),Cooling Setpoint (New),Heating Deadband Up,Heating Deadband Down,Cooling Deadband Up,Cooling Deadband Down
 09/11  3:39,10,35,0.4,0.6,0.4,0.6
 09/11  3:40,10,35,0.4,0.6,0.4,0.6
 09/11  3:41,10,35,0.4,0.6,0.4,0.6
 09/11  3:42,10,35,0.4,0.6,0.4,0.6
 09/11  3:43,10,35,0.4,0.6,0.4,0.6
 09/11  3:44,10,35,0.4,0.6,0.4,0.6
 09/11  3:45,10,35,0.4,0.6,0.4,0.6
 09/11  3:46,10,35,0.4,0.6,0.4,0.6
 09/11  3:47,10,35,0.4,0.6,0.4,0.6
 09/11  3:48,10,35,0.4,0.6,0.4,0.6
 09/11  3:49,10,35,0.4,0.6,0.4,0.6
 09/11  3:50,10,35,0.4,0.6,0.4,0.6
 09/11  3:51,10,35,0.4,0.6,0.4,0.6
 09/11  3:52,10,35,0.4,0.6,0.4,0.6
 09/11  3:53,10,35,0.4,0.6,0.4,0.6
 09/11  3:54,10,35,0.4,0.6,0.4,0.6
 09/11  3:55,10,35,0.4,0.6,0.4,0.6
 09/11  3:56,10,35,0.4,0.6,0.4,0.6
 09/11  3:57,10,35,0.4,0.6,0.4,0.6
 09/11  3:58,10,35,0.4,0.6,0.4,0.6
 09/11  3:59,10,35,0.4,0.6,0.4,0.6
 09/11  4:00,10,35,0.4,0.6,0.4,0.6
 09/11  4:01,10,35,0.4,0.6,0.4,0.6
 09/11  4:02,10,35,0.4,0.6,0.4,0.6
 09/11  4:03,10,35,0.4,0.6,0.4,0.6
 09/11  4:04,10,35,0.4,0.6,0.4,0.6
 09/11  4:05,10,35,0.4,0.6,0.4,0.6
 09/11  4:06,10,35,0.4,0.6,0.4,0.6
 09/11  4:07,10,35,0.4,0.6,0.4,0.6
 09/11  4:08,10,35,0.4,0.6,0.4,0.6
 09/11  4:09,10,35,0.4,0.6,0.4,0.6
 09/11  4:10,10,35,0.4,0.6,0.4,0.6
 09/11  4:11,10,35,0.4,0.6,0.4,0.6
 09/11  4:12,10,35,0.4,0.6,0.4,0.6
 09/11  4:13,10,35,0.4,0.6,0.4,0.6
 09/11  4:14,10,35,0.4,0.6,0.4,0.6
 09/11  4:15,10,35,0.4,0.6,0.4,0.6
 09/11  4:16,10,35,0.4,0.6,0.4,0.6
 09/11  4:17,10,35,0.4,0.6,0.4,0.6
 09/11  4:18,10,35,0.4,0.6,0.4,0.6
 09/11  4:19,10,35,0.4,0.6,0.4,0.6
 09/11  4:20,10,35,0.4,0.6,0.4,0.6
 09/11  4:21,10,35,0.4,0.6,0.4,0.6
 09/11  4:22,10,35,0.4,0.6,0.4,0.6
 09/11  4:23,10,35,0.4,0.6,0.4,0.6
 09/11  4:24,10,35,0.4,0.6,0.4,0.6
 09/11  4:25,10,35,0.4,0.6,0.4,0.6
 09/11  4:26,10,35,0.4,0.6,0.4,0.6
 09/11  4:27,10,35,0.4,0.6,0.4,0.6
 09/11  4:28,10,35,0.4,0.6,0.4,0.6
 09/11  4:29,10,35,0.4,0.6,0.4,0.6
 09/11  4:30,10,35,0.4,0.6,0.4,0.6
 09/11  4:31,10,35,0.4,0.6,0.4,0.6
 09/11  4:32,10,35,0.4,0.6,0.4,0.6
 09/11  4:33,10,35,0.4,0.6,0.4,0.6
 09/11  4:34,10,35,0.4,0.6,0.4,0.6
 09/11  4:35,10,35,0.4,0.6,0.4,0.6
 09/11  4:36,10,35,0.4,0.6,0.4,0.6
 09/11  4:37,10,35,0.4,0.6,0.4,0.6
 09/11  4:38,10,35,0.4,0.6,0.4,0.6
 09/11  4:39,10,35,0.4,0.6,0.4,0.6
 09/11  4:40,10,35,0.4,0.6,0.4,0.6
 09/11  4:41,10,35,0.4,0.6,0.4,0.6
 09/11  4:42,10,35,0.4,0.6,0.4,0.6
 09/11  4:43,10,35,0.4,0.6,0.4,0.6
 09/11  4:44,10,35,0.4,0.6,0.4,0.6
 09/11  4:45,10,35,0.4,0.6,0.4,0.6
 09/11  4:46,10,35,0.4,0.6,0.4,0.6
 09/11  4:47,10,35,0.4,0.6,0.4,0.6
 09/11  4:48,10,35,0.4,0.6,0.4,0.6
 09/11  4:49,10,35,0.4,0.6,0.4,0.6
 09/11  4:50,10,35,0.4,0.6,0.4,0.6
 09/11  4:51,10,35,0.4,0.6,0.4,0.6
 09/11  4:52,10,35,0.4,0.6,0.4,0.6
 09/11  4:53,10,35,0.4,0.6,0.4,0.6
 09/11  4:54,10,35,0.4,0.6,0.4,0.6
 09/11  4:55,10,35,0.4,0.6,0.4,0.6
 09/11  4:56,10,35,0.4,0.6,0.4,0.6
 09/11  4:57,10,35,0.4,0.6,0.4,0.6
 09/11  4:58,10,35,0.4,0.6,0.4,0.6
 09/11  4:59,10,35,0.4,0.6,0.4,0.6
 09/11  5:00,10,35,0.4,0.6,0.4,0.6
 09/11  5:01,10,35,0.4,0.6,0.4,0.6
 09/11  5:02,10,35,0.4,0.6,0.4,0.6
 09/11  5:03,10,35,0.4,0.6,0.4,0.6
 09/11  5:04,10,35,0.4,0.6,0.4,0.6
 09/11  5:05,10,35,0.4,0.6,0.4,0.6
 09/11  5:06,10,35,0.4,0.6,0.4,0.6
 09/11  5:07,10,35,0.4,0.6,0.4,0.6
