datetime,Heating Setpoint (New),Cooling Setpoint (New),Heating Deadband Up,Heating Deadband Down,Cooling Deadband Up,Cooling Deadband Down
 01/03  04:18:00,19.51915762,30,1.5,1.5,1.5,1.5
 01/03  04:19:00,19.82603567,30,1.5,1.5,1.5,1.5
 01/03  04:20:00,19.59565521,30,1.5,1.5,1.5,1.5
 01/03  04:21:00,19.16790028,30,1.5,1.5,1.5,1.5
 01/03  04:22:00,18.74320568,30,1.5,1.5,1.5,1.5
 01/03  04:23:00,18.38115935,30,1.5,1.5,1.5,1.5
 01/03  04:24:00,18.3342158,30,1.5,1.5,1.5,1.5
 01/03  04:25:00,18.83247707,30,1.5,1.5,1.5,1.5
 01/03  04:26:00,19.5017951,30,1.5,1.5,1.5,1.5
 01/03  04:27:00,19.82476618,30,1.5,1.5,1.5,1.5
 01/03  04:28:00,19.58884149,30,1.5,1.5,1.5,1.5
 01/03  04:29:00,19.1422334,30,1.5,1.5,1.5,1.5
 01/03  04:30:00,18.69698225,30,1.5,1.5,1.5,1.5
 01/03  04:31:00,18.33373771,30,1.5,1.5,1.5,1.5
 01/03  04:32:00,18.67737118,30,1.5,1.5,1.5,1.5
 01/03  04:33:00,19.31081229,30,1.5,1.5,1.5,1.5
 01/03  04:34:00,19.81985578,30,1.5,1.5,1.5,1.5
 01/03  04:35:00,19.67284843,30,1.5,1.5,1.5,1.5
 01/03  04:36:00,19.23169789,30,1.5,1.5,1.5,1.5
 01/03  04:37:00,18.75937105,30,1.5,1.5,1.5,1.5
 01/03  04:38:00,18.3509753,30,1.5,1.5,1.5,1.5
 01/03  04:39:00,18.33378448,30,1.5,1.5,1.5,1.5
 01/03  04:40:00,18.81886144,30,1.5,1.5,1.5,1.5
 01/03  04:41:00,19.44765768,30,1.5,1.5,1.5,1.5
 01/03  04:42:00,19.82339107,30,1.5,1.5,1.5,1.5
 01/03  04:43:00,19.59631992,30,1.5,1.5,1.5,1.5
 01/03  04:44:00,19.1262921,30,1.5,1.5,1.5,1.5
 01/03  04:45:00,18.64916771,30,1.5,1.5,1.5,1.5
 01/03  04:46:00,18.33561693,30,1.5,1.5,1.5,1.5
 01/03  04:47:00,18.6787402,30,1.5,1.5,1.5,1.5
 01/03  04:48:00,19.27929982,30,1.5,1.5,1.5,1.5
 01/03  04:49:00,19.81906837,30,1.5,1.5,1.5,1.5
 01/03  04:50:00,19.67167186,30,1.5,1.5,1.5,1.5
 01/03  04:51:00,19.20838292,30,1.5,1.5,1.5,1.5
 01/03  04:52:00,18.70921779,30,1.5,1.5,1.5,1.5
 01/03  04:53:00,18.33500658,30,1.5,1.5,1.5,1.5
 01/03  04:54:00,18.642869,30,1.5,1.5,1.5,1.5
 01/03  04:55:00,19.22871112,30,1.5,1.5,1.5,1.5
 01/03  04:56:00,19.80183579,30,1.5,1.5,1.5,1.5
 01/03  04:57:00,19.832836,30,1.5,1.5,1.5,1.5
 01/03  04:58:00,19.42698507,30,1.5,1.5,1.5,1.5
 01/03  04:59:00,18.9094279,30,1.5,1.5,1.5,1.5
 01/03  05:00:00,18.43815829,30,1.5,1.5,1.5,1.5
 01/03  05:01:00,18.33492101,30,1.5,1.5,1.5,1.5
 01/03  05:02:00,18.87216306,30,1.5,1.5,1.5,1.5
 01/03  05:03:00,19.62107597,30,1.5,1.5,1.5,1.5
 01/03  05:04:00,19.83115267,30,1.5,1.5,1.5,1.5
 01/03  05:05:00,19.61768327,30,1.5,1.5,1.5,1.5
 01/03  05:06:00,19.28026867,30,1.5,1.5,1.5,1.5
 01/03  05:07:00,18.96898018,30,1.5,1.5,1.5,1.5
 01/03  05:08:00,18.71863245,30,1.5,1.5,1.5,1.5
 01/03  05:09:00,18.51909842,30,1.5,1.5,1.5,1.5
 01/03  05:10:00,18.35426664,30,1.5,1.5,1.5,1.5
 01/03  05:11:00,18.33350181,30,1.5,1.5,1.5,1.5
 01/03  05:12:00,18.89292,30,1.5,1.5,1.5,1.5
 01/03  05:13:00,19.65465944,30,1.5,1.5,1.5,1.5
 01/03  05:14:00,19.83229429,30,1.5,1.5,1.5,1.5
 01/03  05:15:00,19.62025115,30,1.5,1.5,1.5,1.5
 01/03  05:16:00,19.30309339,30,1.5,1.5,1.5,1.5
 01/03  05:17:00,19.01455296,30,1.5,1.5,1.5,1.5
 01/03  05:18:00,18.78269698,30,1.5,1.5,1.5,1.5
 01/03  05:19:00,18.59675419,30,1.5,1.5,1.5,1.5
 01/03  05:20:00,18.44169981,30,1.5,1.5,1.5,1.5
 01/03  05:21:00,18.33352503,30,1.5,1.5,1.5,1.5
 01/03  05:22:00,18.86135746,30,1.5,1.5,1.5,1.5
 01/03  05:23:00,19.63186446,30,1.5,1.5,1.5,1.5
 01/03  05:24:00,19.83215549,30,1.5,1.5,1.5,1.5
 01/03  05:25:00,19.64147204,30,1.5,1.5,1.5,1.5
 01/03  05:26:00,19.34064212,30,1.5,1.5,1.5,1.5
 01/03  05:27:00,19.06408925,30,1.5,1.5,1.5,1.5
 01/03  05:28:00,18.85261324,30,1.5,1.5,1.5,1.5
 01/03  05:29:00,18.67958422,30,1.5,1.5,1.5,1.5
 01/03  05:30:00,18.53417897,30,1.5,1.5,1.5,1.5
 01/03  05:31:00,18.41539886,30,1.5,1.5,1.5,1.5
 01/03  05:32:00,18.33349084,30,1.5,1.5,1.5,1.5
 01/03  05:33:00,18.87680634,30,1.5,1.5,1.5,1.5
 01/03  05:34:00,19.65775364,30,1.5,1.5,1.5,1.5
 01/03  05:35:00,19.8328635,30,1.5,1.5,1.5,1.5
 01/03  05:36:00,19.63890175,30,1.5,1.5,1.5,1.5
 01/03  05:37:00,19.34818451,30,1.5,1.5,1.5,1.5
 01/03  05:38:00,19.0846277,30,1.5,1.5,1.5,1.5
 01/03  05:39:00,18.87289503,30,1.5,1.5,1.5,1.5
 01/03  05:40:00,18.70237924,30,1.5,1.5,1.5,1.5
 01/03  05:41:00,18.58888644,30,1.5,1.5,1.5,1.5
 01/03  05:42:00,18.48023517,30,1.5,1.5,1.5,1.5
 01/03  05:43:00,18.37160994,30,1.5,1.5,1.5,1.5
 01/03  05:44:00,18.33350081,30,1.5,1.5,1.5,1.5
 01/03  05:45:00,18.90130258,30,1.5,1.5,1.5,1.5
 01/03  05:46:00,19.69282534,30,1.5,1.5,1.5,1.5
 01/03  05:47:00,19.84734371,30,1.5,1.5,1.5,1.5
 01/03  05:48:00,19.64900624,30,1.5,1.5,1.5,1.5
 01/03  05:49:00,19.36471905,30,1.5,1.5,1.5,1.5
 01/03  05:50:00,19.11037709,30,1.5,1.5,1.5,1.5
 01/03  05:51:00,18.90666823,30,1.5,1.5,1.5,1.5
 01/03  05:52:00,18.74212227,30,1.5,1.5,1.5,1.5
 01/03  05:53:00,18.60313487,30,1.5,1.5,1.5,1.5
 01/03  05:54:00,18.48152595,30,1.5,1.5,1.5,1.5
 01/03  05:55:00,18.37338482,30,1.5,1.5,1.5,1.5
 01/03  05:56:00,18.33348524,30,1.5,1.5,1.5,1.5
 01/03  05:57:00,18.90462701,30,1.5,1.5,1.5,1.5
 01/03  05:58:00,19.702036,30,1.5,1.5,1.5,1.5
 01/03  05:59:00,19.86365189,30,1.5,1.5,1.5,1.5
 01/03  06:00:00,19.67199266,30,1.5,1.5,1.5,1.5
 01/03  06:01:00,19.8775817,30,1.5,1.5,1.5,1.5
 01/03  06:02:00,20.26074499,30,1.5,1.5,1.5,1.5
 01/03  06:03:00,20.64027392,30,1.5,1.5,1.5,1.5
 01/03  06:04:00,20.94958676,30,1.5,1.5,1.5,1.5
 01/03  06:05:00,21.18876171,30,1.5,1.5,1.5,1.5
